Date,Open,High,Low,Close,Adj_Close,Volume,Day
2018-09-10,16.772499,16.805,16.3825,16.6625,16.336973,27724400,1250
2018-09-11,16.442499,17.120001,16.325001,17.032499,16.699743,35261200,1251
2018-09-12,16.9625,16.997499,16.4475,16.885,16.555126,44130800,1252
2018-09-13,17.174999,17.504999,17.1675,17.385,17.045357,37338000,1253
2018-09-14,17.4475,17.535,17.0525,17.252501,16.915449,38344000,1254
2018-09-17,17.155001,17.2075,16.465,16.525,16.202162,36411600,1255
2018-09-18,16.559999,17.1625,16.535,16.9175,16.58699,36379200,1256
2018-09-19,16.924999,17.045,16.547501,16.879999,16.550222,29481200,1257
2018-09-20,17.205,17.495001,17.09,17.41,17.069866,31341600,1258
2018-09-21,17.565001,17.645,17.077499,17.1325,16.797791,30140800,1259
2018-09-24,16.7775,17.297501,16.559999,17.280001,16.94241,26437600,1260
2018-09-25,17.247499,17.3825,17.077499,17.35,17.011042,21629600,1261
2018-09-26,17.365,17.8675,17.2775,17.3325,16.993885,35460000,1262
2018-09-27,17.59,17.995001,17.557501,17.8125,17.464508,29262800,1263
2018-09-28,17.66,17.9375,17.57,17.785,17.437542,30928800,1264
2018-10-01,18.125,18.2925,17.77,17.887501,17.53804,34116000,1265
2018-10-02,17.84,18.190001,17.66,17.785,17.437542,32393600,1266
2018-10-03,18.002501,18.125,17.7575,17.8375,17.489016,33284800,1267
2018-10-04,17.625,17.645,16.424999,16.82,16.491396,75444800,1268
2018-10-05,16.799999,16.9575,15.705,16.1875,15.871251,66462000,1269
2018-10-08,15.96,16.3125,15.31,15.8975,15.586918,59676800,1270
2018-10-09,15.9175,16.4,15.7975,16.02,15.707026,52144800,1271
2018-10-10,15.7475,15.765,13.86,13.9425,13.670111,121428000,1272
2018-10-11,13.7525,14.3125,12.9575,13.3775,13.116149,111216000,1273
2018-10-12,14.445,14.63,13.7,14.5075,14.224073,84244000,1274
2018-10-15,14.365,14.4275,13.8125,13.96,13.687269,79867600,1275
2018-10-16,14.41,15.2925,14.3375,15.1625,14.866276,62233200,1276
2018-10-17,15.42,15.445,14.7375,15.2125,14.9153,65060400,1277
2018-10-18,15.015,15.0325,13.9525,14.1575,13.880912,78174400,1278
2018-10-19,14.4475,14.8475,13.9475,14.1,13.824534,67418400,1279
2018-10-22,14.3525,14.645,13.9925,14.3125,14.032883,57463200,1280
2018-10-23,13.5475,14.37,13.0575,14.155,13.87846,88390800,1281
2018-10-24,14.1025,14.175,12.17,12.23,11.991068,102421200,1282
2018-10-25,12.7725,13.6925,12.6075,13.485,13.22155,76036800,1283
2018-10-26,12.1,13.2075,11.87,12.4375,12.194513,122380800,1284
2018-10-29,12.995,13.15,10.96,11.7725,11.542506,108980800,1285
2018-10-30,11.56,12.2625,11.3925,12.2275,11.988616,92432800,1286
2018-10-31,12.8125,13.415,12.8125,13.0525,12.797499,90078800,1287
2018-11-01,13.1675,13.655,12.86,13.6225,13.356364,63033200,1288
2018-11-02,13.4875,13.7325,12.7,13.0125,12.758282,87178800,1289
2018-11-05,13.02,13.035,12.44,12.885,12.633273,51300400,1290
2018-11-06,12.8525,13.3825,12.8175,13.1575,12.900448,55730800,1291
2018-11-07,13.6275,14.39,13.5425,14.3675,14.086809,69276000,1292
2018-11-08,14.1975,14.33,13.915,14.1225,13.846595,58762400,1293
2018-11-09,13.73,13.82,13.0725,13.405,13.143112,68369600,1294
2018-11-12,13.125,13.1975,12.1475,12.2275,11.988616,77183600,1295
2018-11-13,12.3675,12.875,12.11,12.2225,11.983713,77227200,1296
2018-11-14,12.57,12.705,11.72,11.9125,11.679771,78062000,1297
2018-11-15,11.8475,12.6525,11.5525,12.55,12.304817,84908400,1298
2018-11-16,12.19,12.6,12.03,12.4125,12.170003,67162400,1299
2018-11-19,12.23,12.2875,11.1,11.2225,11.003251,93246000,1300
2018-11-20,10.43,11.06,10.175,10.6,10.392912,101495600,1301
2018-11-21,11.0075,11.155,10.78,10.8375,10.625772,57557600,1302
2018-11-23,10.57,10.93,10.5625,10.5975,10.390462,28440000,1303
2018-11-26,11.045,11.345,10.905,11.325,11.103748,59982400,1304
2018-11-27,11.155,11.53,10.9725,11.4425,11.218953,60081600,1305
2018-11-28,11.7,12.54,11.5,12.5275,12.282757,97532400,1306
2018-11-29,12.38,12.6675,12.12,12.4125,12.170003,64522400,1307
2018-11-30,12.46,12.71,12.2825,12.6725,12.424923,58317600,1308
2018-12-03,13.52,13.575,13.0625,13.3225,13.062225,74671600,1309
2018-12-04,13.1375,13.2475,11.7675,11.8575,11.625846,105048000,1310
2018-12-06,11.1025,12.055,10.9575,12.03,11.794975,98078000,1311
2018-12-07,11.9,12.105,10.75,10.8525,10.640478,111493600,1312
2018-12-10,10.79,11.34,10.455,11.1925,10.973838,88234400,1313
2018-12-11,11.7325,11.75,11.0225,11.3125,11.091493,86081600,1314
2018-12-12,11.805,12.1325,11.5925,11.5975,11.370924,84725600,1315
2018-12-13,11.825,11.9725,11.38,11.6,11.373376,82362400,1316
2018-12-14,11.2225,11.3325,10.6775,10.725,10.515471,78088800,1317
2018-12-17,10.6175,10.8725,9.7725,10.0325,9.836499,100296400,1318
2018-12-18,10.27,10.5025,9.9425,10.2,10.000728,78946800,1319
2018-12-19,10.1775,10.6475,9.22,9.4625,9.277635,153931200,1320
2018-12-20,9.3675,9.695,8.6825,9.0825,8.90506,160409200,1321
2018-12-21,9.1625,9.3525,8.0525,8.205,8.044703,184517200,1322
2018-12-24,8,8.3225,7.58,7.5975,7.44907,87800400,1323
2018-12-26,7.825,8.985,7.66,8.965,8.80173,189117600,1324
2018-12-27,8.65,9.1,8.03,9.0925,8.926908,170917200,1325
2018-12-28,9.25,9.5275,8.8425,9.055,8.890091,152421200,1326
2018-12-31,9.34,9.42,9.0125,9.26,9.091357,108483200,1327
2019-01-02,8.695,9.5575,8.6825,9.3925,9.221444,135832800,1328
2019-01-03,8.995,9.1025,8.4075,8.4825,8.328016,165255200,1329
2019-01-04,8.8875,9.69,8.7925,9.5675,9.393258,136482000,1330
2019-01-07,9.6175,10.0375,9.5325,9.8725,9.692702,106553200,1331
2019-01-08,10.1725,10.2775,9.725,10.1575,9.972512,105811200,1332
2019-01-09,10.28,10.5425,10.15,10.3975,10.20814,89049200,1333
2019-01-10,10.16,10.5075,9.99,10.4975,10.30632,87565600,1334
2019-01-11,10.31,10.4075,10.2025,10.3725,10.183597,60402400,1335
2019-01-14,10.1075,10.235,9.965,10.1025,9.918513,55691600,1336
2019-01-15,10.235,10.73,10.215,10.6625,10.468314,72562800,1337
2019-01-16,10.7425,10.965,10.67,10.6775,10.483042,67946400,1338
2019-01-17,10.575,11.0675,10.515,10.9275,10.728487,71020000,1339
2019-01-18,11.18,11.4025,10.9625,11.2275,11.023025,83454400,1340
2019-01-22,11.0025,11.02,10.33,10.6075,10.414316,90867200,1341
2019-01-23,10.7375,10.875,10.255,10.6175,10.424135,83046800,1342
2019-01-24,10.705,10.855,10.585,10.805,10.608221,64057600,1343
2019-01-25,11.065,11.2925,10.955,11.19,10.986208,69756800,1344
